game_id,period,minute,second,expanded_minute,type,outcome_type,team_id,team,player_id,player,x,y,end_x,end_y,goal_mouth_y,goal_mouth_z,blocked_x,blocked_y,qualifiers,is_touch,is_shot,is_goal,card_type,related_event_id,related_player_id,match_id,data_source,pass_length,is_longball,is_header,is_cross,is_through_ball,shot_body_part,is_assist,field_zone,is_successful,event_type,possession_sequence,next_player,distance_to_goal,pass_distance,event_id,take_ons_in_carry,xthreat,xthreat_gen,is_pre_assist,possession_id,possession_team,is_progressive,is_box_entry,pass_outcome,action_type,zone_id,xg
1913888,FirstHalf,0.0,12.0,0,Pass,Successful,65,Barcelona,422938.0,Alejandro Balde,66.8,100.0,44.7,85.7,,,,,"[{'type': {'displayName': 'ThrowIn', 'value': 107}}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '25.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.59'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '85.7'}]",True,,,,,,1913888,whoscored,,True,False,False,False,,False,Attacking_Right,True,Pass,9,Pau Cubarsí,60.02,26.32,,,-0.3961738681300003,0.0,False,11,Barcelona,False,False,Retention,Offensive,15,0.0
1913888,FirstHalf,0.0,13.5,0,Carry,Successful,65,Barcelona,422938.0,Alejandro Balde,44.7,85.7,42.5,78.8,,,,,"[{'type': {'displayName': 'ThrowIn', 'value': 107}}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '25.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.59'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '85.7'}]",True,,,,,,1913888,whoscored,,True,False,False,False,,False,Attacking_Right,True,Carry,9,Pau Cubarsí,60.02,26.32,10.5,0.0,-0.06944872487000003,0.0,False,11,Barcelona,False,False,,Offensive,9,0.0
1913888,FirstHalf,0.0,15.0,0,Pass,Successful,65,Barcelona,498386.0,Pau Cubarsí,42.5,78.8,46.4,43.1,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '24.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '43.1'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '46.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.88'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Right,True,Pass,9,Ronald Araujo,64.31,35.91,,,-0.15803866555999996,0.0,False,11,Barcelona,False,False,Retention,Offensive,9,0.0
1913888,FirstHalf,0.0,17.0,0,Carry,Successful,65,Barcelona,498386.0,Pau Cubarsí,46.4,43.1,44.3,36.9,,,,,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '24.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '43.1'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '46.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.88'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Right,True,Carry,9,Ronald Araujo,64.31,35.91,11.5,0.0,-0.021348722239999993,0.0,False,11,Barcelona,False,False,,Offensive,8,0.0
1913888,FirstHalf,0.0,19.0,0,Pass,Successful,65,Barcelona,384711.0,Ronald Araujo,44.3,36.9,44.2,21.9,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.70'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '21.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '44.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.2'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Center,True,Pass,9,Eric García,57.22,15.0,,,-0.02848931705999999,0.0,False,11,Barcelona,False,False,Retention,Offensive,8,0.0
1913888,FirstHalf,0.0,21.0,0,Pass,Successful,65,Barcelona,368091.0,Eric García,44.8,23.1,57.4,5.2,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.54'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '18.0'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '57.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '5.2'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Left,True,Pass,9,Lamine Yamal,61.41,21.89,,,-0.012669183119999983,0.0,False,11,Barcelona,False,False,Retention,Offensive,7,0.0
1913888,FirstHalf,0.0,22.5,0,Carry,Successful,65,Barcelona,368091.0,Eric García,57.4,5.2,53.2,4.0,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.54'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '18.0'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '57.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '5.2'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Left,True,Carry,9,Lamine Yamal,61.41,21.89,13.5,0.0,-0.0036199979199999996,0.0,False,11,Barcelona,False,False,,Offensive,10,0.0
1913888,FirstHalf,0.0,24.0,0,Pass,Successful,65,Barcelona,480249.0,Lamine Yamal,53.2,4.0,35.7,36.7,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '35.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '28.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.26'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '36.7'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Left,True,Pass,9,Ronald Araujo,65.62,37.09,,,0.019526684539999985,0.019526684539999985,False,11,Barcelona,False,False,Retention,Offensive,10,0.0
1913888,FirstHalf,0.0,26.5,0,Carry,Successful,65,Barcelona,480249.0,Lamine Yamal,35.7,36.7,46.3,44.9,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '35.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '28.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.26'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '36.7'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Left,True,Carry,9,Ronald Araujo,65.62,37.09,14.5,0.0,0.050551132829999984,0.050551132829999984,False,11,Barcelona,False,False,,Offensive,8,0.0
1913888,FirstHalf,0.0,29.0,0,Pass,Successful,65,Barcelona,384711.0,Ronald Araujo,46.3,44.9,45.4,68.7,,,,,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.63'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '68.7'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '45.4'}]",True,,,,,,1913888,whoscored,,False,False,False,False,,False,Middle_Center,True,Pass,9,Pau Cubarsí,53.94,23.82,,,0.10603686625,0.10603686625,False,11,Barcelona,False,False,Retention,Offensive,8,0.0
